date,open,high,low,close,volume,Name,Return,Price_Range,Daily_Change,Relative_Change
2014-09-02,57.23,58.1,57.23,58.07,2015566,A,1.592022393282022,0.8700000000000045,0.8400000000000034,1.4677616634632247
2014-03-21,30.39,30.64,30.22,30.33,1278177,AIV,0.4304635761589371,0.4200000000000017,-0.060000000000002274,-0.19743336623890187
2014-02-20,52.84,53.07,52.61,52.97,1161854,DGX,0.37900322152737487,0.46000000000000085,0.12999999999999545,0.24602573807720562
2014-12-18,90.78,92.36,90.48,92.36,4160615,PNC,3.264758497316639,1.8799999999999955,1.5799999999999983,1.740471469486669
2016-02-04,89.57,92.705,89.515,91.46,1751196,ITW,1.6448099577683815,3.1899999999999977,1.8900000000000006,2.110081500502401
2014-09-15,39.03,39.24,38.65,38.83,2113384,PLD,-0.563380281690138,0.5900000000000034,-0.20000000000000284,-0.5124263387138172
2017-09-20,76.12,76.4,75.8,76.33,308031,CINF,0.38137822198841664,0.6000000000000085,0.20999999999999375,0.27588018917497864
2017-11-14,12.1,12.16,11.99,12.02,25893421,F,-1.1513157894736887,0.16999999999999993,-0.08000000000000007,-0.661157024793389
2017-02-24,22.96,23.26,22.64,23.24,22019587,MU,-1.0221465076661072,0.620000000000001,0.2799999999999976,1.2195121951219408
2016-05-24,49,49.41,48.65,49.18,1465898,EXPD,0.9234557767289203,0.759999999999998,0.17999999999999972,0.3673469387755096
2017-10-27,76.85,77.84,75.98,76.67,2899665,HCA,-0.2861230329041473,1.8599999999999994,-0.1799999999999926,-0.2342225113858069
2014-08-14,68.78,68.873,68.32,68.57,2500275,ETN,-0.17469791818314825,0.5530000000000115,-0.21000000000000796,-0.3053213143355742
2015-05-21,51.56,51.78,51.5,51.71,848945,BEN,0.03869220352099657,0.28000000000000114,0.14999999999999858,0.2909231962761803
2018-01-26,11.55,11.74,11.49,11.72,9121139,AES,2.0017406440382977,0.25,0.16999999999999993,1.471861471861471
2016-05-23,83.3,85,83.2,83.68,1676024,CTXS,0.5648359572166964,1.7999999999999972,0.38000000000000966,0.4561824729892073
2017-08-08,36.29,36.38,35.5,35.74,4745456,NEM,-1.1888305225324847,0.8800000000000026,-0.5499999999999972,-1.5155690272802347
2016-10-05,55.77,56.15,54.51,54.71,4592686,VFC,-2.633920626445981,1.6400000000000006,-1.0600000000000023,-1.9006634391249815
2016-05-19,96.41,96.945,95.25,95.88,1988399,ADBE,-0.8479834539813933,1.6949999999999932,-0.5300000000000011,-0.549735504615705
2016-03-10,50.26,50.44,48.93,49.84,1536912,FLR,-0.7369049990041774,1.509999999999998,-0.4199999999999946,-0.8356545961002678
2013-11-06,17.28,17.39,17.18,17.24,8103405,WU,-0.17371163867979814,0.21000000000000085,-0.0400000000000027,-0.23148148148149708
2015-04-24,61.86,62.28,60.77,61.36,2464860,RRC,-0.936390054891828,1.509999999999998,-0.5,-0.8082767539605561
2013-07-22,97.46,98.91,96.14,97.68,3239921,KMB,-1.8192783194290765,2.769999999999996,0.22000000000001307,0.22573363431152585
2016-02-16,22.97,24,22.86,23.77,7093064,WY,5.176991150442469,1.1400000000000006,0.8000000000000007,3.4828036569438434
2016-01-08,28.35,28.93,27.45,28.5,8160518,DVN,1.568068424803996,1.4800000000000004,0.14999999999999858,0.5291005291005241
2016-10-12,231.93,233.12,231.37,232.1,1256281,LMT,0.10782833728703904,1.75,0.1699999999999875,0.07329797783813542
2016-02-22,34.76,35.28,34.71,35.01,3030230,BEN,2.728873239436619,0.5700000000000003,0.25,0.7192174913693902
2013-06-20,36.99,37.209,36.27,36.32,4089717,FE,-2.418054809242339,0.9390000000000001,-0.6700000000000017,-1.8113003514463413
2014-10-29,157.91,159.72,156.91,158.88,7074414,AMGN,1.0751320058527882,2.8100000000000023,0.9699999999999989,0.6142739535178259
2015-04-24,45.66,48.14,45.65,47.87,130933665,MSFT,10.45223811721272,2.490000000000002,2.210000000000001,4.840122645641702
